epoch,rel_time,can_id,dlc,data_hex,type,counter,temp,state,crc_ok,gap
1782982949.743850,3.996521,0x123,8,bf 1e 07 01 00 00 00 19,SENSOR,191,30.07,WARNING,True,0
1782982949.748090,4.000761,0x100,2,5f c0,HEARTBEAT,,,,,
1782982949.843911,4.096582,0x123,8,c0 1e 07 01 00 00 00 d7,SENSOR,192,30.07,WARNING,True,0
1782982949.943729,4.196400,0x123,8,c1 1e 07 01 00 00 00 08,SENSOR,193,30.07,WARNING,True,0
1782982949.947717,4.200388,0x100,2,60 c2,HEARTBEAT,,,,,
1782982950.043446,4.296117,0x123,8,c2 1e 09 01 00 00 00 3c,SENSOR,194,30.09,WARNING,True,0
1782982950.143302,4.395973,0x123,8,c3 1e 09 01 00 00 00 e3,SENSOR,195,30.09,WARNING,True,0
1782982950.147258,4.399929,0x100,2,61 c4,HEARTBEAT,,,,,
1782982950.243221,4.495891,0x123,8,c4 1e 09 01 00 00 00 f0,SENSOR,196,30.09,WARNING,True,0
1782982950.343231,4.595901,0x123,8,c5 1e 09 01 00 00 00 2f,SENSOR,197,30.09,WARNING,True,0
1782982950.347356,4.600027,0x100,2,62 c6,HEARTBEAT,,,,,
1782982950.443026,4.695696,0x123,8,c6 1e 09 01 00 00 00 49,SENSOR,198,30.09,WARNING,True,0
1782982950.543246,4.795917,0x123,8,c7 1e 09 01 00 00 00 96,SENSOR,199,30.09,WARNING,True,0
1782982950.546733,4.799404,0x100,2,63 c8,HEARTBEAT,,,,,
1782982950.642774,4.895445,0x123,8,c8 1e 09 01 00 00 00 6f,SENSOR,200,30.09,WARNING,True,0
1782982950.742628,4.995298,0x123,8,c9 1e 09 01 00 00 00 b0,SENSOR,201,30.09,WARNING,True,0
1782982950.746503,4.999173,0x100,2,64 ca,HEARTBEAT,,,,,
1782982950.842824,5.095495,0x123,8,ca 1e 09 01 00 00 00 d6,SENSOR,202,30.09,WARNING,True,0
1782982950.942299,5.194970,0x123,8,cb 1e 09 01 00 00 00 09,SENSOR,203,30.09,WARNING,True,0
1782982950.946326,5.198996,0x100,2,65 cc,HEARTBEAT,,,,,
1782982951.042392,5.295063,0x123,8,cc 1e 09 01 00 00 00 1a,SENSOR,204,30.09,WARNING,True,0
1782982951.142543,5.395214,0x123,8,cd 1e 06 01 00 00 00 f5,SENSOR,205,30.06,WARNING,True,0
1782982951.146411,5.399082,0x100,2,66 ce,HEARTBEAT,,,,,
1782982951.241927,5.494597,0x123,8,ce 1e 06 01 00 00 00 93,SENSOR,206,30.06,WARNING,True,0
1782982951.342274,5.594944,0x123,8,cf 1e 06 01 00 00 00 4c,SENSOR,207,30.06,WARNING,True,0
1782982951.345813,5.598483,0x100,2,67 d0,HEARTBEAT,,,,,
1782982951.442162,5.694833,0x123,8,d0 1e 06 01 00 00 00 66,SENSOR,208,30.06,WARNING,True,0
1782982951.541561,5.794231,0x123,8,d1 1e 06 01 00 00 00 b9,SENSOR,209,30.06,WARNING,True,0
1782982951.545490,5.798161,0x100,2,68 d2,HEARTBEAT,,,,,
1782982951.641697,5.894367,0x123,8,d2 1e 06 01 00 00 00 df,SENSOR,210,30.06,WARNING,True,0
1782982951.741563,5.994233,0x123,8,d3 1e 06 01 00 00 00 00,SENSOR,211,30.06,WARNING,True,0
1782982951.745607,5.998278,0x100,2,69 d4,HEARTBEAT,,,,,
1782982951.841390,6.094061,0x123,8,d4 1e 06 01 00 00 00 13,SENSOR,212,30.06,WARNING,True,0
1782982951.941327,6.193997,0x123,8,d5 1e 06 01 00 00 00 cc,SENSOR,213,30.06,WARNING,True,0
1782982951.945681,6.198351,0x100,2,6a d6,HEARTBEAT,,,,,
1782982952.040987,6.293658,0x123,8,d6 1e 06 01 00 00 00 aa,SENSOR,214,30.06,WARNING,True,0
1782982952.141268,6.393938,0x123,8,d7 1e 06 01 00 00 00 75,SENSOR,215,30.06,WARNING,True,0
1782982952.144754,6.397424,0x100,2,6b d8,HEARTBEAT,,,,,
1782982952.240668,6.493338,0x123,8,d8 1e 05 01 00 00 00 2a,SENSOR,216,30.05,WARNING,True,0
1782982952.340769,6.593439,0x123,8,d9 1e 05 01 00 00 00 f5,SENSOR,217,30.05,WARNING,True,0
1782982952.346356,6.599026,0x100,2,6c da,HEARTBEAT,,,,,
1782982952.440455,6.693125,0x123,8,da 1e 05 01 00 00 00 93,SENSOR,218,30.05,WARNING,True,0
1782982952.540709,6.793380,0x123,8,db 1e 05 01 00 00 00 4c,SENSOR,219,30.05,WARNING,True,0
1782982952.544428,6.797098,0x100,2,6d dc,HEARTBEAT,,,,,
1782982952.640452,6.893123,0x123,8,dc 1e 05 01 00 00 00 5f,SENSOR,220,30.05,WARNING,True,0
1782982952.740678,6.993349,0x123,8,dd 1e 05 01 00 00 00 80,SENSOR,221,30.05,WARNING,True,0
1782982952.744214,6.996884,0x100,2,6e de,HEARTBEAT,,,,,
1782982952.840209,7.092880,0x123,8,de 1e 05 01 00 00 00 e6,SENSOR,222,30.05,WARNING,True,0
1782982952.940146,7.192817,0x123,8,df 1e 05 01 00 00 00 39,SENSOR,223,30.05,WARNING,True,0
1782982952.944267,7.196938,0x100,2,6f e0,HEARTBEAT,,,,,
1782982953.039790,7.292461,0x123,8,e0 1e 05 01 00 00 00 b2,SENSOR,224,30.05,WARNING,True,0
1782982953.139794,7.392465,0x123,8,e1 1e 05 01 00 00 00 6d,SENSOR,225,30.05,WARNING,True,0
1782982953.143403,7.396074,0x100,2,70 e2,HEARTBEAT,,,,,
1782982953.239472,7.492142,0x123,8,e2 1e 05 01 00 00 00 0b,SENSOR,226,30.05,WARNING,True,0
1782982953.339494,7.592165,0x123,8,e3 1e 04 01 00 00 00 b6,SENSOR,227,30.04,WARNING,True,0
1782982953.343609,7.596280,0x100,2,71 e4,HEARTBEAT,,,,,
1782982953.439519,7.692190,0x123,8,e4 1e 04 01 00 00 00 a5,SENSOR,228,30.04,WARNING,True,0
1782982953.539217,7.791888,0x123,8,e5 1e 04 01 00 00 00 7a,SENSOR,229,30.04,WARNING,True,0
1782982953.542912,7.795583,0x100,2,72 e6,HEARTBEAT,,,,,
1782982953.639140,7.891810,0x123,8,e6 1e 04 01 00 00 00 1c,SENSOR,230,30.04,WARNING,True,0
1782982953.738709,7.991379,0x123,8,e7 1e 04 01 00 00 00 c3,SENSOR,231,30.04,WARNING,True,0
1782982953.742584,7.995255,0x100,2,73 e8,HEARTBEAT,,,,,
1782982953.838877,8.091548,0x123,8,e8 1e 04 01 00 00 00 3a,SENSOR,232,30.04,WARNING,True,0
1782982953.938805,8.191475,0x123,8,e9 1e 04 01 00 00 00 e5,SENSOR,233,30.04,WARNING,True,0
1782982953.942383,8.195054,0x100,2,74 ea,HEARTBEAT,,,,,
1782982954.038287,8.290957,0x123,8,ea 1e 04 01 00 00 00 83,SENSOR,234,30.04,WARNING,True,0
1782982954.138117,8.390788,0x123,8,eb 1e 04 01 00 00 00 5c,SENSOR,235,30.04,WARNING,True,0
1782982954.142425,8.395095,0x100,2,75 ec,HEARTBEAT,,,,,
1782982954.238070,8.490741,0x123,8,ec 1e 04 01 00 00 00 4f,SENSOR,236,30.04,WARNING,True,0
1782982954.338067,8.590738,0x123,8,ed 1e 04 01 00 00 00 90,SENSOR,237,30.04,WARNING,True,0
1782982954.341935,8.594605,0x100,2,76 ee,HEARTBEAT,,,,,
1782982954.437898,8.690569,0x123,8,ee 1e 04 01 00 00 00 f6,SENSOR,238,30.04,WARNING,True,0
1782982954.537943,8.790614,0x123,8,ef 1e 04 01 00 00 00 29,SENSOR,239,30.04,WARNING,True,0
1782982954.541828,8.794499,0x100,2,77 f0,HEARTBEAT,,,,,
1782982954.637856,8.890527,0x123,8,f0 1e 04 01 00 00 00 03,SENSOR,240,30.04,WARNING,True,0
1782982954.737810,8.990481,0x123,8,f1 1e 04 01 00 00 00 dc,SENSOR,241,30.04,WARNING,True,0
1782982954.741340,8.994010,0x100,2,78 f2,HEARTBEAT,,,,,
1782982954.837368,9.090039,0x123,8,f2 1e 04 01 00 00 00 ba,SENSOR,242,30.04,WARNING,True,0
1782982954.937520,9.190190,0x123,8,f3 1e 04 01 00 00 00 65,SENSOR,243,30.04,WARNING,True,0
1782982954.941068,9.193739,0x100,2,79 f4,HEARTBEAT,,,,,
1782982955.037076,9.289746,0x123,8,f4 1e 04 01 00 00 00 76,SENSOR,244,30.04,WARNING,True,0
1782982955.136856,9.389527,0x123,8,f5 1e 04 01 00 00 00 a9,SENSOR,245,30.04,WARNING,True,0
1782982955.141231,9.393902,0x100,2,7a f6,HEARTBEAT,,,,,
1782982955.236639,9.489310,0x123,8,f6 1e 04 01 00 00 00 cf,SENSOR,246,30.04,WARNING,True,0
1782982955.336364,9.589034,0x123,8,f7 1e 04 01 00 00 00 10,SENSOR,247,30.04,WARNING,True,0
1782982955.340535,9.593205,0x100,2,7b f8,HEARTBEAT,,,,,
1782982955.436391,9.689062,0x123,8,f8 1e 04 01 00 00 00 e9,SENSOR,248,30.04,WARNING,True,0
1782982955.536736,9.789407,0x123,8,f9 1e 04 01 00 00 00 36,SENSOR,249,30.04,WARNING,True,0
1782982955.540553,9.793223,0x100,2,7c fa,HEARTBEAT,,,,,
1782982955.636054,9.888725,0x123,8,fa 1e 04 01 00 00 00 50,SENSOR,250,30.04,WARNING,True,0
1782982955.735917,9.988588,0x123,8,fb 1e 04 01 00 00 00 8f,SENSOR,251,30.04,WARNING,True,0
1782982955.739953,9.992624,0x100,2,7d fc,HEARTBEAT,,,,,
1782982955.836140,10.088810,0x123,8,fc 1e 04 01 00 00 00 9c,SENSOR,252,30.04,WARNING,True,0
1782982955.935462,10.188132,0x123,8,fd 1e 04 01 00 00 00 43,SENSOR,253,30.04,WARNING,True,0
1782982955.939334,10.192004,0x100,2,7e fe,HEARTBEAT,,,,,
1782982956.035471,10.288141,0x123,8,fe 1e 04 01 00 00 00 25,SENSOR,254,30.04,WARNING,True,0
1782982956.135736,10.388406,0x123,8,ff 1e 04 01 00 00 00 fa,SENSOR,255,30.04,WARNING,True,0
1782982956.139251,10.391922,0x100,2,7f 00,HEARTBEAT,,,,,
1782982956.235374,10.488045,0x123,8,00 1e 04 01 00 00 00 be,SENSOR,0,30.04,WARNING,True,0
1782982956.335344,10.588015,0x123,8,01 1e 04 01 00 00 00 61,SENSOR,1,30.04,WARNING,True,0
1782982956.338635,10.591305,0x100,2,80 02,HEARTBEAT,,,,,
1782982956.434784,10.687454,0x123,8,02 1e 04 01 00 00 00 07,SENSOR,2,30.04,WARNING,True,0
1782982956.534523,10.787193,0x123,8,03 1e 05 01 00 00 00 ba,SENSOR,3,30.05,WARNING,True,0
1782982956.538157,10.790827,0x100,2,81 04,HEARTBEAT,,,,,
1782982956.634759,10.887430,0x123,8,04 1e 05 01 00 00 00 a9,SENSOR,4,30.05,WARNING,True,0
1782982956.734560,10.987230,0x123,8,05 1e 05 01 00 00 00 76,SENSOR,5,30.05,WARNING,True,0
1782982956.737914,10.990585,0x100,2,82 06,HEARTBEAT,,,,,
1782982956.834386,11.087057,0x123,8,06 1e 05 01 00 00 00 10,SENSOR,6,30.05,WARNING,True,0
